uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,7
AC,OUTRAS,DOMICILIO,"< 9",M,10
AC,OUTRAS,HOSPITAL,"< 9",F,39
AC,OUTRAS,HOSPITAL,"< 9",I,1
AC,OUTRAS,HOSPITAL,"< 9",M,55
AC,OUTRAS,OUTRO,"< 9",F,3
AC,OUTRAS,OUTRO,"< 9",M,4
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AC,OUTRAS,VIA_PUBLICA,"< 9",F,6
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",M,1
AC,INDETERMINADA,HOSPITAL,"< 9",F,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,15
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,10
AC,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,19
AC,PNEUMONIA,HOSPITAL,"< 9",M,24
AC,PNEUMONIA,OUTRO,"< 9",F,1
AC,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,16
AC,SEPTICEMIA,HOSPITAL,"< 9",I,1
AC,SEPTICEMIA,HOSPITAL,"< 9",M,32
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AC,SRAG,HOSPITAL,"< 9",F,1
AC,SRAG,VIA_PUBLICA,"< 9",M,1
AL,OUTRAS,DOMICILIO,"< 9",F,12
AL,OUTRAS,DOMICILIO,"< 9",M,9
AL,OUTRAS,HOSPITAL,"< 9",F,197
AL,OUTRAS,HOSPITAL,"< 9",I,2
AL,OUTRAS,HOSPITAL,"< 9",M,240
AL,OUTRAS,IGNORADO,"< 9",M,1
AL,OUTRAS,OUTRO,"< 9",F,1
AL,OUTRAS,OUTRO,"< 9",M,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,8
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,8
AL,OUTRAS,VIA_PUBLICA,"< 9",F,1
AL,OUTRAS,VIA_PUBLICA,"< 9",M,3
AL,INDETERMINADA,HOSPITAL,"< 9",F,2
AL,INDETERMINADA,HOSPITAL,"< 9",M,2
AL,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,20
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,35
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,PNEUMONIA,DOMICILIO,"< 9",M,2
AL,PNEUMONIA,HOSPITAL,"< 9",F,25
AL,PNEUMONIA,HOSPITAL,"< 9",M,27
AL,PNEUMONIA,IGNORADO,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,80
AL,SEPTICEMIA,HOSPITAL,"< 9",M,138
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AL,SRAG,HOSPITAL,"< 9",F,3
AL,SRAG,HOSPITAL,"< 9",M,3
AM,OUTRAS,DOMICILIO,"< 9",F,25
AM,OUTRAS,DOMICILIO,"< 9",M,31
AM,OUTRAS,HOSPITAL,"< 9",F,261
AM,OUTRAS,HOSPITAL,"< 9",I,8
AM,OUTRAS,HOSPITAL,"< 9",M,273
AM,OUTRAS,IGNORADO,"< 9",F,4
AM,OUTRAS,IGNORADO,"< 9",M,3
AM,OUTRAS,OUTRO,"< 9",F,17
AM,OUTRAS,OUTRO,"< 9",M,16
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,3
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
AM,COVID,HOSPITAL,"< 9",F,5
AM,COVID,HOSPITAL,"< 9",M,4
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,33
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,54
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,3
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,4
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,PNEUMONIA,DOMICILIO,"< 9",F,2
AM,PNEUMONIA,DOMICILIO,"< 9",M,1
AM,PNEUMONIA,HOSPITAL,"< 9",F,42
AM,PNEUMONIA,HOSPITAL,"< 9",M,41
AM,PNEUMONIA,IGNORADO,"< 9",F,1
AM,PNEUMONIA,OUTRO,"< 9",F,3
AM,PNEUMONIA,OUTRO,"< 9",M,3
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,96
AM,SEPTICEMIA,HOSPITAL,"< 9",M,120
AM,SEPTICEMIA,IGNORADO,"< 9",M,2
AM,SEPTICEMIA,OUTRO,"< 9",F,1
AM,SEPTICEMIA,OUTRO,"< 9",M,4
AM,SRAG,DOMICILIO,"< 9",M,1
AM,SRAG,HOSPITAL,"< 9",F,9
AM,SRAG,HOSPITAL,"< 9",M,7
AP,OUTRAS,DOMICILIO,"< 9",F,2
AP,OUTRAS,DOMICILIO,"< 9",M,3
AP,OUTRAS,HOSPITAL,"< 9",F,24
AP,OUTRAS,HOSPITAL,"< 9",M,32
AP,OUTRAS,IGNORADO,"< 9",M,1
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AP,OUTRAS,POSTO_SAUDE,"< 9",M,1
AP,INDETERMINADA,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,3
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,9
AP,PNEUMONIA,HOSPITAL,"< 9",M,11
AP,SEPTICEMIA,DOMICILIO,"< 9",M,2
AP,SEPTICEMIA,HOSPITAL,"< 9",F,22
AP,SEPTICEMIA,HOSPITAL,"< 9",M,13
AP,SEPTICEMIA,IGNORADO,"< 9",F,1
AP,SEPTICEMIA,IGNORADO,"< 9",M,1
AP,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
AP,SRAG,HOSPITAL,"< 9",F,3
BA,OUTRAS,DOMICILIO,"< 9",F,33
BA,OUTRAS,DOMICILIO,"< 9",M,43
BA,OUTRAS,HOSPITAL,"< 9",F,563
BA,OUTRAS,HOSPITAL,"< 9",I,23
BA,OUTRAS,HOSPITAL,"< 9",M,638
BA,OUTRAS,IGNORADO,"< 9",M,3
BA,OUTRAS,OUTRO,"< 9",F,4
BA,OUTRAS,OUTRO,"< 9",I,1
BA,OUTRAS,OUTRO,"< 9",M,15
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,26
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,24
