uf,tipo_doenca,local_obito,faixa_etaria,sexo,total,uf_int,tipo_doenca_int,local_obito_int,faixa_etaria_int,sexo_int
AC,OUTRAS,DOMICILIO,< 9,F,7,0,0,0,0,0
AC,OUTRAS,DOMICILIO,< 9,M,10,0,0,0,0,1
AC,OUTRAS,HOSPITAL,< 9,F,39,0,0,1,0,0
AC,OUTRAS,HOSPITAL,< 9,I,1,0,0,1,0,2
AC,OUTRAS,HOSPITAL,< 9,M,55,0,0,1,0,1
AC,OUTRAS,OUTRO,< 9,F,3,0,0,2,0,0
AC,OUTRAS,OUTRO,< 9,M,4,0,0,2,0,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,2,0,0,3,0,1
AC,OUTRAS,VIA_PUBLICA,< 9,F,6,0,0,4,0,0
AC,OUTRAS,VIA_PUBLICA,< 9,M,1,0,0,4,0,1
AC,COVID,HOSPITAL,< 9,M,1,0,1,1,0,1
AC,INDETERMINADA,HOSPITAL,< 9,F,1,0,2,1,0,0
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,3,0,3,0,0,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,15,0,3,1,0,0
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,10,0,3,1,0,1
AC,INSUFICIENCIA_RESPIRATORIA,IGNORADO,< 9,F,1,0,3,5,0,0
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,F,1,0,3,2,0,0
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,M,1,0,3,2,0,1
AC,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,< 9,F,1,0,3,4,0,0
AC,PNEUMONIA,DOMICILIO,< 9,M,2,0,4,0,0,1
AC,PNEUMONIA,HOSPITAL,< 9,F,19,0,4,1,0,0
AC,PNEUMONIA,HOSPITAL,< 9,M,24,0,4,1,0,1
AC,PNEUMONIA,OUTRO,< 9,F,1,0,4,2,0,0
AC,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,M,1,0,4,3,0,1
AC,SEPTICEMIA,HOSPITAL,< 9,F,16,0,5,1,0,0
AC,SEPTICEMIA,HOSPITAL,< 9,I,1,0,5,1,0,2
AC,SEPTICEMIA,HOSPITAL,< 9,M,32,0,5,1,0,1
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,M,2,0,5,3,0,1
AC,SRAG,HOSPITAL,< 9,F,1,0,6,1,0,0
AC,SRAG,VIA_PUBLICA,< 9,M,1,0,6,4,0,1
AL,OUTRAS,DOMICILIO,< 9,F,12,1,0,0,0,0
AL,OUTRAS,DOMICILIO,< 9,M,9,1,0,0,0,1
AL,OUTRAS,HOSPITAL,< 9,F,197,1,0,1,0,0
AL,OUTRAS,HOSPITAL,< 9,I,2,1,0,1,0,2
AL,OUTRAS,HOSPITAL,< 9,M,240,1,0,1,0,1
AL,OUTRAS,IGNORADO,< 9,M,1,1,0,5,0,1
AL,OUTRAS,OUTRO,< 9,F,1,1,0,2,0,0
AL,OUTRAS,OUTRO,< 9,M,1,1,0,2,0,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,8,1,0,3,0,0
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,8,1,0,3,0,1
AL,OUTRAS,VIA_PUBLICA,< 9,F,1,1,0,4,0,0
AL,OUTRAS,VIA_PUBLICA,< 9,M,3,1,0,4,0,1
AL,INDETERMINADA,HOSPITAL,< 9,F,2,1,2,1,0,0
AL,INDETERMINADA,HOSPITAL,< 9,M,2,1,2,1,0,1
AL,INDETERMINADA,OUTROS_SERVICOS_SAUDE,< 9,F,1,1,2,3,0,0
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,F,1,1,3,0,0,0
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,2,1,3,0,0,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,20,1,3,1,0,0
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,35,1,3,1,0,1
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,F,1,1,3,3,0,0
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,M,1,1,3,3,0,1
AL,PNEUMONIA,DOMICILIO,< 9,M,2,1,4,0,0,1
AL,PNEUMONIA,HOSPITAL,< 9,F,25,1,4,1,0,0
AL,PNEUMONIA,HOSPITAL,< 9,M,27,1,4,1,0,1
AL,PNEUMONIA,IGNORADO,< 9,F,1,1,4,5,0,0
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,F,1,1,4,3,0,0
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,M,1,1,4,3,0,1
AL,SEPTICEMIA,HOSPITAL,< 9,F,80,1,5,1,0,0
AL,SEPTICEMIA,HOSPITAL,< 9,M,138,1,5,1,0,1
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,F,2,1,5,3,0,0
AL,SRAG,HOSPITAL,< 9,F,3,1,6,1,0,0
AL,SRAG,HOSPITAL,< 9,M,3,1,6,1,0,1
AM,OUTRAS,DOMICILIO,< 9,F,25,2,0,0,0,0
AM,OUTRAS,DOMICILIO,< 9,M,31,2,0,0,0,1
AM,OUTRAS,HOSPITAL,< 9,F,261,2,0,1,0,0
AM,OUTRAS,HOSPITAL,< 9,I,8,2,0,1,0,2
AM,OUTRAS,HOSPITAL,< 9,M,273,2,0,1,0,1
AM,OUTRAS,IGNORADO,< 9,F,4,2,0,5,0,0
AM,OUTRAS,IGNORADO,< 9,M,3,2,0,5,0,1
AM,OUTRAS,OUTRO,< 9,F,17,2,0,2,0,0
AM,OUTRAS,OUTRO,< 9,M,16,2,0,2,0,1
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,3,2,0,3,0,0
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,4,2,0,3,0,1
AM,COVID,HOSPITAL,< 9,F,5,2,1,1,0,0
AM,COVID,HOSPITAL,< 9,M,4,2,1,1,0,1
AM,INDETERMINADA,DOMICILIO,< 9,F,1,2,2,0,0,0
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,F,2,2,3,0,0,0
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,3,2,3,0,0,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,33,2,3,1,0,0
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,I,2,2,3,1,0,2
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,54,2,3,1,0,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,F,3,2,3,2,0,0
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,M,4,2,3,2,0,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,F,1,2,3,3,0,0
AM,PNEUMONIA,DOMICILIO,< 9,F,2,2,4,0,0,0
AM,PNEUMONIA,DOMICILIO,< 9,M,1,2,4,0,0,1
AM,PNEUMONIA,HOSPITAL,< 9,F,42,2,4,1,0,0
AM,PNEUMONIA,HOSPITAL,< 9,M,41,2,4,1,0,1
AM,PNEUMONIA,IGNORADO,< 9,F,1,2,4,5,0,0
AM,PNEUMONIA,OUTRO,< 9,F,3,2,4,2,0,0
AM,PNEUMONIA,OUTRO,< 9,M,3,2,4,2,0,1
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,F,1,2,4,3,0,0
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,M,1,2,4,3,0,1
AM,SEPTICEMIA,HOSPITAL,< 9,F,96,2,5,1,0,0
AM,SEPTICEMIA,HOSPITAL,< 9,M,120,2,5,1,0,1
AM,SEPTICEMIA,IGNORADO,< 9,M,2,2,5,5,0,1
AM,SEPTICEMIA,OUTRO,< 9,F,1,2,5,2,0,0
AM,SEPTICEMIA,OUTRO,< 9,M,4,2,5,2,0,1
AM,SRAG,DOMICILIO,< 9,M,1,2,6,0,0,1
AM,SRAG,HOSPITAL,< 9,F,9,2,6,1,0,0
AM,SRAG,HOSPITAL,< 9,M,7,2,6,1,0,1
AP,OUTRAS,DOMICILIO,< 9,F,2,3,0,0,0,0
AP,OUTRAS,DOMICILIO,< 9,M,3,3,0,0,0,1
AP,OUTRAS,HOSPITAL,< 9,F,24,3,0,1,0,0
AP,OUTRAS,HOSPITAL,< 9,M,32,3,0,1,0,1
AP,OUTRAS,IGNORADO,< 9,M,1,3,0,5,0,1
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,1,3,0,3,0,1
AP,OUTRAS,POSTO_SAUDE,< 9,M,1,3,0,6,0,1
AP,INDETERMINADA,HOSPITAL,< 9,M,1,3,2,1,0,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,3,3,3,1,0,0
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,2,3,3,1,0,1
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,M,1,3,3,2,0,1
AP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,F,1,3,3,3,0,0
AP,PNEUMONIA,HOSPITAL,< 9,F,9,3,4,1,0,0
AP,PNEUMONIA,HOSPITAL,< 9,M,11,3,4,1,0,1
AP,SEPTICEMIA,DOMICILIO,< 9,M,2,3,5,0,0,1
AP,SEPTICEMIA,HOSPITAL,< 9,F,22,3,5,1,0,0
AP,SEPTICEMIA,HOSPITAL,< 9,M,13,3,5,1,0,1
AP,SEPTICEMIA,IGNORADO,< 9,F,1,3,5,5,0,0
AP,SEPTICEMIA,IGNORADO,< 9,M,1,3,5,5,0,1
AP,SEPTICEMIA,VIA_PUBLICA,< 9,M,1,3,5,4,0,1
AP,SRAG,HOSPITAL,< 9,F,3,3,6,1,0,0
BA,OUTRAS,DOMICILIO,< 9,F,33,4,0,0,0,0
BA,OUTRAS,DOMICILIO,< 9,M,43,4,0,0,0,1
BA,OUTRAS,HOSPITAL,< 9,F,563,4,0,1,0,0
BA,OUTRAS,HOSPITAL,< 9,I,23,4,0,1,0,2
BA,OUTRAS,HOSPITAL,< 9,M,638,4,0,1,0,1
BA,OUTRAS,IGNORADO,< 9,M,3,4,0,5,0,1
BA,OUTRAS,OUTRO,< 9,F,4,4,0,2,0,0
BA,OUTRAS,OUTRO,< 9,I,1,4,0,2,0,2
BA,OUTRAS,OUTRO,< 9,M,15,4,0,2,0,1
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,26,4,0,3,0,0
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,24,4,0,3,0,1
BA,OUTRAS,VIA_PUBLICA,< 9,F,4,4,0,4,0,0
BA,OUTRAS,VIA_PUBLICA,< 9,M,4,4,0,4,0,1
BA,COVID,HOSPITAL,< 9,F,3,4,1,1,0,0
